,Name,Venue ID,Lat,Lng,Category,Near Same Kind,Near Coffee Shops
162,Del Rey Books,57e3da4038fa91ac4f03e548,40.7652098,-73.9825022,Business Service,False,True
163,OCM Bookstore,4cf2aa591d18a1438d715bec,40.72582181487456,-73.99448375268666,Bookstore,True,True
164,Oriental Books & Stationery,4e99bcbf0aaf0a73a1fa6790,40.713780233263314,-73.99665300781353,Bookstore,True,False
165,Borough of Manhattan Community College (CUNY) Bookstore,4d792f81e9756a31ba05fa2e,40.717267878989546,-74.01196908611064,College Bookstore,True,True
166,Patchwork Bluez Press,54cdfa92498e4505ac0020c3,40.738120321861196,-73.95307302474976,Bookstore,False,False
167,Barns & Noble at Pace University,4cd03c85a03a9eb0c158b103,40.71338917492071,-74.00594379881144,College Bookstore,True,False
168,Karma Bookstore,5b956516f5e9d7002c2f8f2b,40.724114,-73.986333,Bookstore,True,True
169,Barclay Newstand Corp,4c8809b194f5a093998dcc1e,40.71477405216731,-74.01218140229446,Bookstore,True,True
170,Polonia Book Store,4d7bbc96645ea35d561b38f8,40.729335189417924,-73.95395205502783,Bookstore,False,False
171,Imperial Fine Books,5649e0c9498ee052ea653ff8,40.7684591,-73.9681269,Bookstore,False,False
172,Revolution Books,4d7662a82fcd236a0d8a8ac6,40.77500057593224,-73.99265880475998,Bookstore,False,False
173,Point & Plane Bookstore,4be5e0c7bcef2d7f9a7804e5,40.72537600578878,-73.98500271141529,Bookstore,True,True
174,Fulton Ryder,50ce8359e4b09d9547d5cd67,40.710642,-74.006212,Bookstore,True,False
175,Atrium Books @ Shop Small Pop-Up Mall,4ec3c5e6e5fa690c1ee5f8ab,40.71319768721049,-74.01398433456029,Bookstore,True,True
176,LIM College Bookstore,501fe0f490e787445972ea68,40.75195485356503,-73.97208452224731,College Bookstore,True,False
177,Shakespeare & Co.,5b12bae3c58ed7002c766185,40.776816,-73.982209,Bookstore,False,False
178,Idlewild Books,52dae660498e6c466e367d5e,40.71678285304265,-73.9593361107106,Bookstore,True,True
179,Gucci Wooster Bookstore,5c13d142018cbb002c627a5a,40.72331532436364,-74.00267243385315,Bookstore,True,True
180,Fever-Tree Pop-Up Holiday Shop,5a1873bf8ad62e285fcfcb39,40.711651,-74.011474,Pop-Up Shop,False,True
181,Assouline,4c3b1ec91a1cd13a60cbb50d,40.766509,-73.953981,Bookstore,False,False
182,Mystery Tribune,5c0a210c67af3a002cf03d24,40.76887869999999,-73.9635323,Business Service,True,False
183,Xinhua Bookstore,4ca4a7f4d5a2a143f9995390,40.715854,-73.99725,Bookstore,True,False
184,Charlotte Moss,4d908b37d00a6ea84e15e64f,40.76884727,-73.96199485,Home Service,True,False
185,NYLS Bookstore,4d572145c0432d43391bffb1,40.71713402871608,-74.00640287500103,College Bookstore,True,True
186,Aeon Bookstore,5b9591d3e4c459002c94170d,40.713874,-73.990883,Bookstore,False,True
187,Bookstore - Borough of Manhattan Community College (BMCC),4c79298f566db60c6ed4430e,40.71806669589095,-74.01186579707107,College Bookstore,True,True
188,Paper Cavalier,4ec7f86e6c251306cc082ab9,40.71827327168834,-73.94779866478925,Bookstore,False,False
189,NYC Planning Bookstore,4d3f09fd6b3d236a542d7864,40.714687620333784,-74.00327730948521,Bookstore,False,False
190,SouvenarteBooks (TM),53353399498e7b81c3f91d96,40.77823415981702,-73.97659063339233,Office,False,False
191,Fordham University - Lincoln Center Bookstore,4d87c956529f8eec3e3b8a70,40.77155648848248,-73.98550805535908,College Bookstore,False,False
192,Polish Bookstore,572f2ca4498e93bc944e439b,40.731754820526035,-73.95408153533936,Bookstore,True,True
193,Ben's Books,58a89284e0adac4d3a57aa74,40.712891,-73.948654,Bookstore,True,False
194,NYIT Manhattan Bookstore,5258009b498e94e8670361e7,40.77028808164909,-73.9824914932251,College Bookstore,True,True
195,LIM College - Maxwell Hall,4c729bfc57b6a14304e4c5cc,40.752297862561456,-73.97212003033303,College Academic Building,True,False
196,City Tech Bookstore & Cafe,4c77c37e923ba143f2fa67e6,40.69470782227517,-73.98829722365633,College Bookstore,False,False
197,Long Island University Bookstore,4d87c559529f8eecc91f8a70,40.69149418432213,-73.98111187659049,College Bookstore,False,False
198,St. Vartan Armenian Cathedral,4c9be22746978cfacf20897f,40.74494665098436,-73.97567300347022,Church,False,False
199,"Saint Joseph's College, New York Bookstore",4d754c9e42406a31f6453809,40.69047027300127,-73.96818675847997,College Bookstore,False,False
200,The Episcopal Church Center,4bb8c0e853649c74794747fb,40.750775014757224,-73.97153823375358,Office,True,False
201,Every Thing Goes Cafe and Bookstore,4beeb21535dc0f479f1c405b,40.63691976365909,-74.07666116952896,Café,False,False
202,Vaughn College Bookstore,4d7930e8e9756a31ae16fa2e,40.76814392734166,-73.8819474739035,College Bookstore,False,False
