,Name,Venue ID,Lat,Lng,Category,Near Same Kind,Near Coffee Shops
78,Goteblüd,4dc5e410ae608779d147e666,37.76062506318013,-122.42157700496922,Bookstore,True,True
79,Argonaut Book Shop,4c2f8b4ced37a593f4756703,37.788556,-122.413261,Bookstore,True,True
80,Take a book.  Leave a book.,50270cb6e4b0b57d71f49bc8,37.790773622872905,-122.41954177110689,Bookstore,False,True
81,John Windle Antiquarian Bookseller,50c3a652e4b065e8ebf43e8d,37.78653335571289,-122.40497589111328,Bookstore,True,True
82,Ourshelves Lending Library,50720681e4b09822b97ae43c,37.756973,-122.421361,Bookstore,True,True
83,Auto Erotica,4c9d899e0df79c740a3f181a,37.760924963771686,-122.43465022926868,Bookstore,True,True
84,Cartoon Art Museum Bookstore,512559e6e4b0fd1be3c980a5,37.78687950446475,-122.40112885560086,Bookstore,True,True
85,Arkipelago Bookstore,4d0a858bf608721e97b0360f,37.78064841886407,-122.40914874330397,Bookstore,True,True
86,Hope's Book Store,4c8ee91aa8de224b4f9d2b01,37.79545219307607,-122.41774984776832,Bookstore,False,False
87,Paulist Center,4b788c9af964a52008d62ee3,37.792567,-122.406006,Bookstore,True,True
88,G. F. Wilkinson Books,52e300ac498ed7af4504ba2c,37.79085836979964,-122.40289340507375,Bookstore,True,True
89,World Books,51fd9c88498eeb50ff8bea80,37.79349740060399,-122.40796009729473,Bookstore,True,False
90,Ai Bookstore,4bc62a0551b376b04d191b6f,37.7817967,-122.4103645,College Bookstore,True,True
91,Golden Gate University Bookstore,4cf5260ca41a60fc5d2b2fc0,37.78959811229478,-122.39889408588562,College Bookstore,True,True
92,Colpa Press,5ab8459db1ec136b2c0e68b8,37.793584,-122.404263,Bookstore,True,True
93,Farfaria,50aae517e4b0d787d00fffa9,37.79355284546451,-122.40323635482677,Bookstore,True,True
94,Ng Hing Kee,51042b34e4b081fc42d6a25c,37.795994716399804,-122.40610160099138,Bookstore,True,True
95,Books Inc,4bf5b9634d5f20a1de0398fe,37.750510761719134,-122.40260576893468,Bookstore,False,False
96,Naiin Thai Bookstore,4beb049062c0c9283997e1d4,37.78487597542037,-122.41830503098966,Bookstore,True,True
97,Good News,4a57a08ef964a5207eb61fe3,37.751575467097155,-122.4302351454993,Bookstore,True,True
98,Sino-American Books & Arts,52cbb03d498efb6b1d7bc6f4,37.79994529477534,-122.42016672483237,Bookstore,False,True
99,Goody Cafe,501450b8e4b080ff6b63c9d7,37.80639149819466,-122.43134178632758,Coffee Shop,True,True
100,Eastwind Books 東風書店,4c424c94ff711b8d265e1305,37.79906056540195,-122.408867208558,Bookstore,True,True
101,Zinio,4b91b924f964a520b1d233e3,37.791245876051676,-122.40018804055593,Financial or Legal Service,True,True
102,Alcatraz Bookstore,4ded68a4c65bf34fc6d5163e,37.82673034765291,-122.42106643945168,Bookstore,False,False
103,Libreria Italiana Pino,5998e208340a58724eb57844,37.799934,-122.40745,Bookstore,True,True
104,San Francisco Mystery Bookstore,4b19b557f964a52071e223e3,37.75120038839767,-122.43581700722949,Bookstore,True,False
105,The Grand Newsstand,556f653a498e200df87f880e,37.79437689394596,-122.39509376205635,Bookstore,True,True
106,City College Bookstore,4e67ca1381dcaba7cca66c04,37.784203,-122.404602,College Bookstore,True,True
107,Modern Times Bookstore,49baf02cf964a520c7531fe3,37.758811,-122.421323,Bookstore,True,True
108,Children's Book Project,4f298353e4b09b0140c12ca5,37.746150327822555,-122.40161009930203,Bookstore,False,False
109,City College Bookstore,4e67cebf81dcaba7cca6f0a3,37.755247317808426,-122.419915084603,College Bookstore,True,True
110,USF - Bookstore,4c33a6dd66e40f471b5ac88b,37.776582551282594,-122.4498985910964,College Bookstore,True,False
111,UCSF Technology Store,4bc8aa466501c9b6d4a04029,37.763441,-122.45801210403442,College Bookstore,False,False
112,KingSpoke Maritime Store,4b788f41f964a520c7d62ee3,37.80775808460429,-122.42086887359618,Gift Shop,False,True
113,Louie Bros Bookstore,53000302498eed30c0088edc,37.795284,-122.406291,Bookstore,True,True
114,USF Follett Bookstore,4d49effd5129a35de7db3eac,37.7773747485532,-122.44876681746133,Bookstore,True,False
115,De Young Gift Shop,4dd830ede4cd37c893bf9acb,37.771449689447856,-122.46822311954327,Gift Shop,False,False
116,Readers Cafe & Bookstore,5139335ee4b0bd1feef4bacd,37.806469185542014,-122.43137364929221,Bookstore,True,True
117,West Portal Daily,4b33fcf8f964a520762325e3,37.74048297769161,-122.46644765138626,Bookstore,True,False
118,Garden Bookstore,56e5e7f6498eb603a13e7884,37.767129,-122.467129,Bookstore,True,False
119,City College Bookstore-Conlan Hall,4e67c87a81dcaba7cca63f4e,37.72413323680191,-122.45141028838809,College Bookstore,True,False
